Категории,Имя,Изображения,Описание,Базовая цена,Видимость в каталоге,Type,SKU,Attribute 1 name,Attribute 1 value(s),parent
ПРЯЖА > Пехорка,Австралийский меринос belyj,https://2676270.ru/upload/iblock/a14/product_img_5599.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос belyj,Цвет,белый,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос chernyj,https://2676270.ru/upload/iblock/0ef/Новый точечный рисунок.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос chernyj,Цвет,черный,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос t.sinij,https://2676270.ru/upload/iblock/555/Новый точечный рисунок.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос t.sinij,Цвет,т.синий,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос krasnyj,https://2676270.ru/upload/iblock/b0a/700.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос krasnyj,Цвет,красный,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос фиалка,https://2676270.ru/upload/iblock/649/peh_179_fialka_26.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос фиалка,Цвет,фиалка,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос jarkooranzhevyj,https://2676270.ru/upload/iblock/b6e/DUSD-dgZtsQ-001.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос jarkooranzhevyj,Цвет,яркооранжевый,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос orhideja,https://2676270.ru/upload/iblock/4f4/4XIFkIk50uo-001.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос orhideja,Цвет,орхидея,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос korichnevyj,https://2676270.ru/upload/iblock/9ea/SpnxTz8HH9E-001.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос korichnevyj,Цвет,коричневый,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос Zelenyj goroshek,https://2676270.ru/upload/iblock/689/46833.970.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос Zelenyj goroshek,Цвет,Зеленый горошек,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос liker,https://2676270.ru/upload/iblock/98f/46834.970.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос liker,Цвет,ликёр,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос св.азалия,https://2676270.ru/upload/iblock/f3d/72518.970.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос св.азалия,Цвет,св.азалия,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос izumrud,https://2676270.ru/upload/iblock/231/573.220.JPG,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос izumrud,Цвет,изумруд,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос sv.goroh,https://2676270.ru/upload/iblock/896/wRHtWidaFWI-001.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос sv.goroh,Цвет,св.горох,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос sv.koral,https://2676270.ru/upload/iblock/d27/w0wfzz_1OlI-001.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос sv.koral,Цвет,св.корал,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос св.фиалка,https://2676270.ru/upload/iblock/bd9/1LBkQJx-022.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос св.фиалка,Цвет,св.фиалка,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос настурция,https://2676270.ru/upload/iblock/316/46844.970.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос настурция,Цвет,настурция,Австралийский меринос
ПРЯЖА > Пехорка,Австралийский меринос boloto,https://2676270.ru/upload/iblock/82a/bGEvHcQ1EzM-001.jpg,"Состав: 95% Мериносовая шерсть, 5% Акрил высокообъемный, Длина нити: 100гр. 400мт., Вес упаковки: 500",1350,visible,variation,Австралийский меринос boloto,Цвет,болото,Австралийский меринос
